FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,504.699+-565.689,331.989+-426.693,241.720+-217.726,102.810+-122.149,48/100,45/100,7/100
laggy,514.874+-567.158,323.344+-421.089,250.370+-220.613,115.010+-131.212,49/100,45/100,6/100
noisy,270.524+-573.843,205.810+-411.731,418.460+-361.976,254.544+-230.564,32/100,43/100,25/100
random,-114.736+-447.389,-42.033+-359.413,355.060+-351.720,230.713+-229.978,11/100,69/100,20/100
zero,-153.083+-409.307,-71.840+-336.774,350.440+-345.326,155.900+-142.751,9/100,72/100,19/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,496.385+-570.188,332.149+-429.247,229.840+-203.159,0.000+-0.000,47/100,47/100,6/100
laggy,474.038+-575.688,314.489+-427.712,235.330+-217.801,0.000+-0.000,46/100,47/100,7/100
noisy,-32.552+-413.008,14.278+-363.775,258.870+-271.413,0.000+-0.000,11/100,79/100,10/100
random,-316.692+-279.249,-300.065+-313.195,116.380+-93.274,0.000+-0.000,3/100,96/100,1/100
zero,-304.773+-96.463,-437.542+-141.806,71.490+-14.470,0.000+-0.000,0/100,100/100,0/100
~di_na,113.331+-603.676,61.419+-243.058,588.610+-299.076,0.000+-0.000,28/100,53/100,19/100
"
"
FWR=0.3P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,504.699+-565.689,331.989+-426.693,241.720+-217.726,102.810+-122.149,48/100,45/100,7/100
laggy,422.877+-563.825,246.621+-378.530,303.810+-265.252,161.022+-161.811,42/100,49/100,9/100
noisy,41.545+-512.197,56.923+-314.446,419.970+-327.638,258.352+-199.626,18/100,65/100,17/100
random,-147.196+-413.256,-58.231+-319.455,357.090+-339.702,230.514+-220.740,9/100,72/100,19/100
zero,-153.083+-409.307,-71.840+-336.774,350.440+-345.326,155.900+-142.751,9/100,72/100,19/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,496.385+-570.188,332.149+-429.247,229.840+-203.159,0.000+-0.000,47/100,47/100,6/100
laggy,279.113+-608.867,181.354+-439.888,237.110+-201.589,0.000+-0.000,37/100,60/100,3/100
noisy,-114.400+-401.014,-65.243+-416.657,126.220+-31.666,0.000+-0.000,9/100,91/100,0/100
random,-316.692+-279.249,-300.065+-313.195,116.380+-93.274,0.000+-0.000,3/100,96/100,1/100
zero,-304.773+-96.463,-437.542+-141.806,71.490+-14.470,0.000+-0.000,0/100,100/100,0/100
~di_na,113.331+-603.676,61.419+-243.058,588.610+-299.076,0.000+-0.000,28/100,53/100,19/100
"
"
FWR=0.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,496.385+-570.188,332.149+-429.247,229.840+-203.159,0.000+-0.000,47/100,47/100,6/100
laggy,-258.082+-515.202,-187.392+-447.749,159.150+-95.161,0.000+-0.000,12/100,88/100,0/100
noisy,-184.892+-394.470,-153.743+-386.874,127.070+-92.887,0.000+-0.000,8/100,91/100,1/100
random,-316.692+-279.249,-300.065+-313.195,116.380+-93.274,0.000+-0.000,3/100,96/100,1/100
zero,-304.773+-96.463,-437.542+-141.806,71.490+-14.470,0.000+-0.000,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,496.385+-570.188,332.149+-429.247,229.840+-203.159,0.000+-0.000,47/100,47/100,6/100
laggy,-258.082+-515.202,-187.392+-447.749,159.150+-95.161,0.000+-0.000,12/100,88/100,0/100
noisy,-184.892+-394.470,-153.743+-386.874,127.070+-92.887,0.000+-0.000,8/100,91/100,1/100
