FWR=0.1P=0.85
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,299.170+-20.374,3199.319+-555.788,10.510+-9.244,0.825+-1.143,99/100,0/100,1/100
laggy,88.653+-116.299,442.083+-989.994,85.450+-31.169,18.182+-8.034,21/100,2/100,77/100
noisy,110.718+-91.752,167.322+-233.818,91.850+-19.607,16.663+-3.928,17/100,2/100,81/100
random,18.329+-40.090,19.313+-42.377,99.400+-5.970,21.115+-3.930,0/100,1/100,99/100
zero,66.782+-50.803,69.529+-65.043,99.320+-4.081,13.986+-1.051,4/100,1/100,95/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,297.196+-28.118,3307.716+-611.153,10.980+-12.896,0.000+-0.000,98/100,0/100,2/100
laggy,44.024+-85.654,150.064+-574.124,94.960+-18.817,0.000+-0.000,8/100,0/100,92/100
noisy,53.320+-60.496,63.248+-118.138,98.460+-8.293,0.000+-0.000,4/100,1/100,95/100
random,-5.833+-25.669,-5.833+-25.669,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.021+-0.021,-0.021+-0.021,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,212.343+-110.160,1977.032+-1281.480,15.160+-15.955,0.000+-0.000,58/100,40/100,2/100
"
"
FWR=0.7P=0.9
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,203.460+-110.977,1968.541+-1285.494,14.910+-17.904,8.884+-23.059,55/100,41/100,4/100
laggy,197.056+-110.038,1909.475+-1324.025,16.680+-20.138,14.226+-24.070,52/100,43/100,5/100
noisy,217.238+-107.393,2182.310+-1254.130,12.200+-11.080,11.725+-10.127,61/100,38/100,1/100
random,197.260+-108.552,1963.315+-1294.027,15.920+-21.453,16.632+-22.875,52/100,42/100,6/100
zero,207.547+-107.808,2022.789+-1294.391,15.140+-18.198,11.032+-11.181,56/100,40/100,4/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,297.196+-28.118,3307.716+-611.153,10.980+-12.896,0.000+-0.000,98/100,0/100,2/100
laggy,12.157+-54.292,51.480+-415.458,98.880+-9.426,0.000+-0.000,2/100,0/100,98/100
noisy,27.912+-38.591,32.003+-73.081,99.420+-5.771,0.000+-0.000,1/100,0/100,99/100
random,-5.833+-25.669,-5.833+-25.669,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.021+-0.021,-0.021+-0.021,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,212.343+-110.160,1977.032+-1281.480,15.160+-15.955,0.000+-0.000,58/100,40/100,2/100
"
"
FWR=0.1P=0.7
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,301.214+-6.582,3126.651+-641.119,11.380+-10.841,0.959+-1.465,100/100,0/100,0/100
laggy,200.849+-129.659,992.302+-1230.707,61.980+-38.371,10.631+-7.415,56/100,0/100,44/100
noisy,195.960+-108.891,492.113+-529.494,69.930+-32.015,11.392+-5.196,48/100,4/100,48/100
random,24.080+-43.621,34.647+-135.208,99.180+-7.863,20.676+-3.371,1/100,1/100,98/100
zero,71.921+-60.175,75.453+-74.830,99.030+-4.657,14.027+-1.088,6/100,2/100,92/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,297.293+-28.511,3300.830+-621.752,11.060+-12.984,0.000+-0.000,98/100,0/100,2/100
laggy,139.105+-113.026,557.767+-1009.094,78.790+-34.171,0.000+-0.000,29/100,2/100,69/100
noisy,174.064+-115.322,321.849+-362.020,82.160+-26.217,0.000+-0.000,40/100,0/100,60/100
random,-5.833+-25.669,-5.833+-25.669,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.021+-0.021,-0.021+-0.021,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,215.980+-108.891,2059.449+-1274.616,14.850+-16.817,0.000+-0.000,60/100,37/100,3/100
"
"
FWR=0.6P=0.9
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,211.366+-109.038,2052.985+-1242.550,15.720+-20.558,10.337+-28.428,59/100,36/100,5/100
laggy,190.992+-111.729,1852.910+-1321.527,16.330+-20.614,14.729+-28.797,49/100,46/100,5/100
noisy,181.791+-108.198,1719.583+-1315.093,18.330+-23.001,18.634+-25.999,44/100,50/100,6/100
random,216.640+-106.190,2035.002+-1236.237,15.250+-17.883,15.673+-18.176,60/100,36/100,4/100
zero,177.419+-107.170,1755.181+-1295.369,15.440+-18.486,11.544+-13.299,43/100,53/100,4/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,297.196+-28.118,3307.716+-611.153,10.980+-12.896,0.000+-0.000,98/100,0/100,2/100
laggy,12.157+-54.292,51.480+-415.458,98.880+-9.426,0.000+-0.000,2/100,0/100,98/100
noisy,27.912+-38.591,32.003+-73.081,99.420+-5.771,0.000+-0.000,1/100,0/100,99/100
random,-5.833+-25.669,-5.833+-25.669,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.021+-0.021,-0.021+-0.021,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,212.343+-110.160,1977.032+-1281.480,15.160+-15.955,0.000+-0.000,58/100,40/100,2/100
"
"
FWR=0.8P=0.9
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,186.894+-110.084,1875.214+-1317.402,15.240+-18.498,10.873+-28.332,48/100,48/100,4/100
laggy,199.304+-108.174,1965.428+-1331.146,16.750+-22.040,15.279+-29.508,53/100,41/100,6/100
noisy,206.962+-109.511,1941.955+-1294.917,18.240+-24.322,18.825+-28.558,55/100,38/100,7/100
random,203.279+-109.905,1972.879+-1295.136,14.670+-15.847,15.531+-17.621,54/100,44/100,2/100
zero,192.479+-109.242,1859.025+-1222.445,14.490+-17.365,10.839+-11.654,50/100,47/100,3/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,297.196+-28.118,3307.716+-611.153,10.980+-12.896,0.000+-0.000,98/100,0/100,2/100
laggy,12.157+-54.292,51.480+-415.458,98.880+-9.426,0.000+-0.000,2/100,0/100,98/100
noisy,27.912+-38.591,32.003+-73.081,99.420+-5.771,0.000+-0.000,1/100,0/100,99/100
random,-5.833+-25.669,-5.833+-25.669,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.021+-0.021,-0.021+-0.021,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,212.343+-110.160,1977.032+-1281.480,15.160+-15.955,0.000+-0.000,58/100,40/100,2/100
"
"
FWR=0.2P=0.2
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,296.902+-34.766,2993.692+-762.753,13.060+-15.581,1.911+-4.197,97/100,0/100,3/100
laggy,291.968+-42.744,2871.486+-924.328,15.280+-19.809,3.275+-7.984,95/100,0/100,5/100
noisy,290.217+-51.021,2414.213+-892.948,17.450+-19.520,3.648+-5.579,94/100,1/100,5/100
random,108.358+-100.999,187.356+-254.335,82.900+-25.502,33.122+-9.925,18/100,21/100,61/100
zero,177.390+-109.277,471.488+-391.263,47.700+-22.224,14.732+-5.474,42/100,52/100,6/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
