FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
noisy,63.877+-362.279,-5.139+-116.429,204.430+-201.052,85.709+-106.657,9/100,86/100,5/100
random,-56.138+-235.308,-58.573+-99.453,167.070+-137.926,69.790+-73.295,3/100,95/100,2/100
zero,-54.036+-306.168,-78.128+-133.390,206.600+-183.528,83.360+-90.040,5/100,84/100,11/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.019+-532.841,328.796+-227.235,381.030+-227.644,0.000+-0.000,80/100,13/100,7/100
laggy,77.982+-590.249,-24.851+-304.875,265.500+-199.910,0.000+-0.000,21/100,74/100,5/100
noisy,-112.325+-90.654,-96.877+-76.743,121.730+-31.671,0.000+-0.000,0/100,100/100,0/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,256.074+-532.318,70.707+-168.048,605.080+-306.028,0.000+-0.000,24/100,22/100,54/100
"
"
FWR=0.1P=0.1
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,867.769+-545.757,318.641+-227.629,409.240+-256.567,47.447+-30.520,76/100,10/100,14/100
laggy,889.149+-531.941,307.591+-220.813,408.950+-241.495,47.095+-28.138,78/100,12/100,10/100
noisy,846.834+-549.027,257.874+-215.223,469.830+-277.908,54.971+-31.665,74/100,13/100,13/100
random,-171.723+-115.643,-154.848+-108.915,125.870+-93.172,20.603+-14.352,0/100,99/100,1/100
zero,-166.168+-94.858,-159.131+-94.611,108.160+-23.390,19.920+-7.557,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,903.781+-536.304,331.525+-229.138,388.790+-237.920,0.000+-0.000,80/100,12/100,8/100
noisy,874.669+-544.422,279.708+-211.372,412.710+-245.599,0.000+-0.000,77/100,14/100,9/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.8P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,362.889+-537.586,112.294+-176.398,562.460+-316.269,624.112+-432.786,30/100,11/100,59/100
laggy,413.292+-570.971,125.971+-200.911,618.870+-320.796,721.869+-430.760,36/100,13/100,51/100
noisy,307.009+-532.988,95.499+-185.277,560.120+-325.837,573.495+-336.583,27/100,21/100,52/100
random,380.490+-556.062,109.219+-176.475,549.310+-318.265,556.289+-323.762,33/100,19/100,48/100
zero,302.819+-522.411,87.248+-164.776,564.860+-315.777,392.693+-226.072,26/100,18/100,56/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,-225.566+-379.711,-231.886+-286.970,173.550+-111.692,0.000+-0.000,5/100,95/100,0/100
noisy,-150.231+-114.132,-129.331+-99.035,118.880+-30.209,0.000+-0.000,0/100,100/100,0/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.3P=0.2
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,876.732+-546.872,296.365+-211.310,432.960+-253.560,173.601+-181.063,77/100,11/100,12/100
laggy,860.678+-555.433,271.514+-207.345,448.490+-251.958,170.857+-157.728,76/100,14/100,10/100
noisy,850.575+-544.989,261.760+-212.444,471.750+-286.090,201.663+-161.293,74/100,13/100,13/100
random,152.279+-459.128,27.783+-157.956,401.440+-314.867,277.218+-228.050,16/100,47/100,37/100
zero,182.137+-472.005,39.909+-163.358,427.780+-303.074,239.422+-187.442,18/100,42/100,40/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,904.441+-533.726,327.658+-227.419,381.740+-226.221,0.000+-0.000,80/100,13/100,7/100
laggy,953.551+-493.018,351.944+-222.999,367.180+-217.339,0.000+-0.000,84/100,11/100,5/100
noisy,561.513+-595.925,140.110+-184.363,564.940+-334.631,0.000+-0.000,48/100,23/100,29/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
