FWR=0.1P=0.85
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.2P=0.2
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,291.975+-43.371,2907.044+-859.399,15.110+-19.975,2.511+-5.547,95/100,0/100,5/100
laggy,288.217+-60.237,2766.194+-974.138,17.070+-22.267,3.381+-6.424,94/100,0/100,6/100
noisy,283.912+-61.668,2381.255+-916.855,18.760+-22.680,3.971+-6.254,91/100,2/100,7/100
random,142.267+-122.808,263.492+-319.377,79.720+-26.361,33.305+-11.345,31/100,15/100,54/100
zero,177.759+-111.155,515.720+-441.120,44.560+-20.625,13.832+-4.834,43/100,52/100,5/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,275.110+-73.454,2543.508+-1144.760,22.870+-30.095,0.000+-0.000,87/100,0/100,13/100
noisy,273.151+-76.952,2204.372+-1027.729,24.700+-30.204,0.000+-0.000,87/100,0/100,13/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.5P=0.1
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,216.651+-107.116,2033.880+-1266.763,16.150+-19.047,10.151+-28.814,61/100,35/100,4/100
laggy,199.310+-110.351,1879.253+-1281.564,18.810+-24.588,10.150+-19.988,53/100,39/100,8/100
noisy,186.322+-110.472,1765.474+-1216.557,14.750+-16.394,8.918+-17.971,48/100,49/100,3/100
random,199.332+-111.384,1781.325+-1233.235,17.530+-21.341,17.255+-19.446,53/100,41/100,6/100
zero,205.290+-107.834,1999.271+-1288.470,16.420+-20.489,11.791+-13.017,56/100,39/100,5/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,284.297+-57.860,2973.205+-970.002,16.880+-24.601,0.000+-0.000,92/100,0/100,8/100
noisy,284.776+-58.428,2694.587+-942.471,17.210+-22.924,0.000+-0.000,92/100,1/100,7/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.6P=0.5
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,200.184+-111.703,1907.091+-1264.817,14.800+-16.581,8.997+-28.567,54/100,43/100,3/100
laggy,189.974+-108.448,1873.594+-1246.878,13.550+-15.555,8.123+-14.645,49/100,48/100,3/100
noisy,194.150+-110.346,1826.288+-1225.859,15.890+-19.705,12.645+-19.162,51/100,44/100,5/100
random,196.727+-110.353,1949.751+-1348.036,15.850+-19.916,16.349+-21.253,53/100,42/100,5/100
zero,195.844+-111.668,1807.639+-1210.856,14.880+-16.560,11.275+-13.127,52/100,45/100,3/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,218.020+-115.274,1166.755+-1202.501,53.890+-39.289,0.000+-0.000,60/100,0/100,40/100
noisy,234.880+-108.707,912.868+-780.177,52.560+-35.883,0.000+-0.000,67/100,2/100,31/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.9P=0.2
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,202.743+-108.004,1865.215+-1205.831,13.240+-8.594,6.050+-8.020,54/100,46/100,0/100
laggy,190.047+-112.310,1629.433+-1176.440,18.340+-22.329,12.277+-24.729,48/100,46/100,6/100
noisy,211.658+-108.593,2088.125+-1240.779,12.610+-10.875,7.933+-17.390,59/100,40/100,1/100
random,175.532+-110.835,1607.850+-1155.746,16.650+-21.569,17.159+-21.868,42/100,52/100,6/100
zero,180.416+-109.730,1796.770+-1290.518,13.040+-11.317,9.956+-9.712,45/100,54/100,1/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,265.642+-84.654,2462.227+-1202.768,25.450+-32.846,0.000+-0.000,84/100,0/100,16/100
noisy,273.432+-77.577,2241.699+-1008.635,23.220+-28.552,0.000+-0.000,88/100,0/100,12/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,274.664+-73.432,2619.984+-1072.409,16.820+-20.737,4.746+-9.639,88/100,7/100,5/100
laggy,226.430+-108.637,1914.157+-1302.061,22.940+-26.338,10.218+-13.089,65/100,27/100,8/100
noisy,226.832+-105.969,1542.520+-1011.211,22.820+-21.638,12.155+-11.270,65/100,29/100,6/100
random,182.921+-110.108,950.642+-815.299,29.800+-23.969,20.139+-13.494,44/100,47/100,9/100
zero,181.951+-110.041,1161.424+-848.622,19.270+-13.514,10.594+-5.146,45/100,53/100,2/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,178.539+-120.349,769.128+-963.859,66.510+-38.364,0.000+-0.000,45/100,0/100,55/100
noisy,234.120+-110.824,585.762+-476.438,62.580+-30.849,0.000+-0.000,65/100,3/100,32/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.2P=0.3
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,291.975+-43.371,2907.044+-859.399,15.110+-19.975,2.511+-5.547,95/100,0/100,5/100
laggy,273.634+-77.153,2441.771+-1168.945,24.210+-30.654,5.506+-8.455,87/100,0/100,13/100
