FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,834.172+-564.139,305.715+-228.987,401.220+-260.227,0.000+-0.000,74/100,11/100,15/100
laggy,795.283+-581.873,282.395+-239.164,395.180+-260.952,0.000+-0.000,71/100,18/100,11/100
noisy,-24.185+-110.643,-32.261+-67.536,300.660+-344.314,0.000+-0.000,0/100,81/100,19/100
random,-210.692+-126.288,-200.765+-122.526,108.930+-29.679,0.000+-0.000,0/100,100/100,0/100
zero,-149.266+-53.043,-213.980+-75.293,72.290+-13.321,0.000+-0.000,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,834.172+-564.139,305.715+-228.987,401.220+-260.227,0.000+-0.000,74/100,11/100,15/100
laggy,795.283+-581.873,282.395+-239.164,395.180+-260.952,0.000+-0.000,71/100,18/100,11/100
noisy,-24.185+-110.643,-32.261+-67.536,300.660+-344.314,0.000+-0.000,0/100,81/100,19/100
random,-210.692+-126.288,-200.765+-122.526,108.930+-29.679,0.000+-0.000,0/100,100/100,0/100
zero,-149.266+-53.043,-213.980+-75.293,72.290+-13.321,0.000+-0.000,0/100,100/100,0/100
~di_na,218.113+-496.422,58.728+-161.931,616.060+-327.772,0.000+-0.000,21/100,23/100,56/100
"
"
FWR=1.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,350.839+-565.020,109.349+-189.805,596.720+-331.407,680.784+-457.038,32/100,17/100,51/100
laggy,292.983+-521.241,70.994+-137.045,607.810+-327.528,696.966+-450.647,26/100,21/100,53/100
noisy,290.640+-523.659,90.153+-171.108,553.180+-320.463,562.672+-323.638,26/100,18/100,56/100
random,203.413+-506.321,63.380+-167.225,609.320+-336.303,622.569+-329.374,20/100,17/100,63/100
zero,300.273+-555.384,93.825+-181.116,619.580+-330.899,434.452+-228.191,28/100,14/100,58/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,834.172+-564.139,305.715+-228.987,401.220+-260.227,0.000+-0.000,74/100,11/100,15/100
laggy,-201.996+-401.306,-162.030+-243.520,203.600+-118.151,0.000+-0.000,6/100,94/100,0/100
noisy,-149.913+-102.466,-125.462+-82.505,120.590+-32.599,0.000+-0.000,0/100,100/100,0/100
random,-210.692+-126.288,-200.765+-122.526,108.930+-29.679,0.000+-0.000,0/100,100/100,0/100
zero,-149.266+-53.043,-213.980+-75.293,72.290+-13.321,0.000+-0.000,0/100,100/100,0/100
~di_na,218.113+-496.422,58.728+-161.931,616.060+-327.772,0.000+-0.000,21/100,23/100,56/100
"
"
FWR=0.2P=0.4
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,814.371+-567.440,269.786+-218.257,439.850+-260.867,94.714+-63.908,72/100,12/100,16/100
laggy,851.134+-550.943,296.745+-219.863,409.460+-250.106,90.658+-63.079,75/100,12/100,13/100
noisy,547.572+-602.657,132.851+-181.063,514.120+-336.232,149.201+-96.097,48/100,28/100,24/100
random,-57.124+-249.464,-68.620+-139.286,171.910+-193.391,73.665+-111.673,3/100,92/100,5/100
zero,-85.363+-282.083,-92.152+-146.172,167.780+-126.605,64.841+-55.800,4/100,90/100,6/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,834.172+-564.139,305.715+-228.987,401.220+-260.227,0.000+-0.000,74/100,11/100,15/100
laggy,890.227+-535.818,321.593+-224.848,389.620+-243.650,0.000+-0.000,79/100,11/100,10/100
noisy,38.580+-158.191,-1.523+-48.787,608.270+-428.061,0.000+-0.000,1/100,45/100,54/100
random,-210.692+-126.288,-200.765+-122.526,108.930+-29.679,0.000+-0.000,0/100,100/100,0/100
zero,-149.266+-53.043,-213.980+-75.293,72.290+-13.321,0.000+-0.000,0/100,100/100,0/100
~di_na,218.113+-496.422,58.728+-161.931,616.060+-327.772,0.000+-0.000,21/100,23/100,56/100
"
"
FWR=0.3P=0.1
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,841.197+-564.960,281.033+-219.593,430.220+-264.924,169.715+-169.708,75/100,12/100,13/100
laggy,797.837+-565.777,255.020+-213.265,482.940+-298.714,186.407+-168.796,70/100,10/100,20/100
noisy,811.511+-565.264,255.734+-215.939,487.410+-296.186,201.479+-174.427,71/100,10/100,19/100
random,176.177+-478.603,49.194+-184.223,432.970+-353.461,292.137+-250.352,18/100,47/100,35/100
zero,200.663+-515.608,46.069+-157.675,456.700+-332.745,256.405+-197.658,21/100,43/100,36/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,834.172+-564.139,305.715+-228.987,401.220+-260.227,0.000+-0.000,74/100,11/100,15/100
laggy,889.402+-538.225,315.521+-220.586,400.260+-253.058,0.000+-0.000,79/100,10/100,11/100
noisy,859.515+-549.704,270.974+-191.427,429.850+-251.160,0.000+-0.000,76/100,11/100,13/100
random,-210.692+-126.288,-200.765+-122.526,108.930+-29.679,0.000+-0.000,0/100,100/100,0/100
zero,-149.266+-53.043,-213.980+-75.293,72.290+-13.321,0.000+-0.000,0/100,100/100,0/100
~di_na,218.113+-496.422,58.728+-161.931,616.060+-327.772,0.000+-0.000,21/100,23/100,56/100
"
"
FWR=0.2P=0.85
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,848.916+-551.278,282.686+-217.820,428.820+-259.908,91.934+-62.987,75/100,11/100,14/100
laggy,624.489+-657.399,185.177+-241.030,347.800+-207.708,97.925+-61.677,59/100,38/100,3/100
