FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,579.661+-585.083,423.838+-487.610,214.820+-193.433,83.907+-97.513,55/100,40/100,5/100
laggy,625.389+-571.507,436.621+-470.675,219.080+-195.886,95.058+-107.898,59/100,36/100,5/100
noisy,253.775+-577.273,204.390+-442.472,436.290+-369.292,261.995+-228.164,31/100,43/100,26/100
random,-189.357+-346.567,-50.486+-342.798,385.820+-353.406,254.222+-236.909,6/100,74/100,20/100
zero,-91.254+-471.032,6.823+-380.615,420.870+-367.993,185.912+-152.147,13/100,63/100,24/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,595.272+-577.814,432.721+-480.483,213.190+-192.154,0.000+-0.000,56/100,39/100,5/100
laggy,618.327+-564.413,414.105+-451.030,234.940+-219.523,0.000+-0.000,58/100,36/100,6/100
noisy,49.133+-478.165,91.154+-450.332,251.360+-272.574,0.000+-0.000,17/100,73/100,10/100
random,-268.991+-375.275,-239.124+-448.671,104.720+-25.144,0.000+-0.000,7/100,93/100,0/100
zero,-319.170+-89.740,-457.318+-132.361,71.340+-12.938,0.000+-0.000,0/100,100/100,0/100
~di_na,91.104+-607.394,55.229+-233.332,648.460+-308.045,0.000+-0.000,29/100,44/100,27/100
"
"
FWR=0.3P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,579.661+-585.083,423.838+-487.610,214.820+-193.433,83.907+-97.513,55/100,40/100,5/100
laggy,568.012+-579.727,386.709+-485.421,240.310+-227.425,125.340+-135.387,55/100,38/100,7/100
noisy,39.554+-538.880,124.461+-455.877,371.080+-316.705,227.879+-194.791,19/100,67/100,14/100
random,-59.797+-504.698,0.593+-377.732,344.660+-332.602,223.997+-217.635,15/100,68/100,17/100
zero,-91.254+-471.032,6.823+-380.615,420.870+-367.993,185.912+-152.147,13/100,63/100,24/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,595.272+-577.814,432.721+-480.483,213.190+-192.154,0.000+-0.000,56/100,39/100,5/100
laggy,361.062+-657.367,225.073+-492.414,209.800+-160.508,0.000+-0.000,45/100,54/100,1/100
noisy,-125.054+-385.584,-77.333+-402.173,124.310+-33.533,0.000+-0.000,9/100,91/100,0/100
random,-268.991+-375.275,-239.124+-448.671,104.720+-25.144,0.000+-0.000,7/100,93/100,0/100
zero,-319.170+-89.740,-457.318+-132.361,71.340+-12.938,0.000+-0.000,0/100,100/100,0/100
~di_na,91.104+-607.394,55.229+-233.332,648.460+-308.045,0.000+-0.000,29/100,44/100,27/100
"
"
FWR=0.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,595.272+-577.814,432.721+-480.483,213.190+-192.154,0.000+-0.000,56/100,39/100,5/100
laggy,-62.888+-636.613,11.512+-626.228,157.090+-90.514,0.000+-0.000,23/100,77/100,0/100
noisy,-184.673+-347.141,-146.784+-387.850,112.830+-25.776,0.000+-0.000,7/100,93/100,0/100
random,-268.991+-375.275,-239.124+-448.671,104.720+-25.144,0.000+-0.000,7/100,93/100,0/100
zero,-319.170+-89.740,-457.318+-132.361,71.340+-12.938,0.000+-0.000,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,595.272+-577.814,432.721+-480.483,213.190+-192.154,0.000+-0.000,56/100,39/100,5/100
laggy,-62.888+-636.613,11.512+-626.228,157.090+-90.514,0.000+-0.000,23/100,77/100,0/100
noisy,-184.673+-347.141,-146.784+-387.850,112.830+-25.776,0.000+-0.000,7/100,93/100,0/100
