FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,909.459+-519.806,328.872+-224.430,365.520+-213.995,0.000+-0.000,80/100,14/100,6/100
noisy,-19.727+-114.716,-21.468+-58.757,274.900+-325.068,0.000+-0.000,0/100,84/100,16/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,909.459+-519.806,328.872+-224.430,365.520+-213.995,0.000+-0.000,80/100,14/100,6/100
noisy,-19.727+-114.716,-21.468+-58.757,274.900+-325.068,0.000+-0.000,0/100,84/100,16/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,288.510+-514.936,88.761+-167.680,627.790+-327.773,0.000+-0.000,25/100,14/100,61/100
"
"
FWR=1.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,383.489+-545.530,102.470+-164.380,608.380+-322.596,667.668+-449.474,33/100,15/100,52/100
laggy,261.150+-509.127,67.148+-140.009,638.080+-328.351,747.988+-468.995,23/100,13/100,64/100
noisy,328.768+-534.975,85.434+-155.711,611.490+-320.106,623.253+-331.374,29/100,14/100,57/100
random,220.343+-476.021,57.635+-139.600,635.920+-319.490,630.979+-309.274,20/100,17/100,63/100
zero,305.380+-534.003,85.969+-168.671,606.960+-317.514,412.800+-220.930,27/100,16/100,57/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,-173.423+-426.195,-167.902+-253.401,186.200+-112.111,0.000+-0.000,7/100,93/100,0/100
noisy,-123.980+-90.443,-109.840+-81.741,116.950+-31.084,0.000+-0.000,0/100,100/100,0/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,288.510+-514.936,88.761+-167.680,627.790+-327.773,0.000+-0.000,25/100,14/100,61/100
"
"
FWR=0.2P=0.4
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,837.616+-549.481,300.180+-233.379,420.870+-269.888,88.445+-63.627,73/100,13/100,14/100
laggy,911.040+-521.141,321.256+-218.932,399.160+-237.962,88.857+-67.272,80/100,12/100,8/100
noisy,517.911+-578.847,144.448+-198.197,536.510+-348.030,154.804+-100.566,43/100,26/100,31/100
random,-23.382+-267.723,-42.003+-106.214,229.400+-248.645,101.732+-129.807,4/100,85/100,11/100
zero,-30.046+-324.363,-56.812+-148.093,188.790+-156.760,75.275+-67.378,6/100,85/100,9/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,873.803+-544.483,330.527+-237.066,363.570+-225.374,0.000+-0.000,77/100,15/100,8/100
noisy,47.188+-215.701,-5.959+-74.361,649.520+-417.371,0.000+-0.000,2/100,40/100,58/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,288.510+-514.936,88.761+-167.680,627.790+-327.773,0.000+-0.000,25/100,14/100,61/100
"
"
FWR=0.3P=0.1
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,912.845+-515.216,308.452+-214.926,404.130+-229.488,147.556+-112.226,80/100,11/100,9/100
laggy,873.002+-549.702,292.836+-219.123,426.260+-242.799,163.243+-150.771,77/100,12/100,11/100
noisy,927.149+-522.794,299.069+-211.054,419.260+-237.594,158.660+-112.192,82/100,11/100,7/100
random,154.407+-490.535,49.290+-184.906,385.650+-318.927,261.486+-227.873,18/100,54/100,28/100
zero,169.370+-477.625,43.925+-152.018,464.580+-334.778,255.781+-197.501,18/100,43/100,39/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,872.991+-545.213,335.691+-236.722,347.200+-209.905,0.000+-0.000,77/100,16/100,7/100
noisy,866.272+-547.507,274.792+-201.237,430.310+-241.545,0.000+-0.000,76/100,12/100,12/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,288.510+-514.936,88.761+-167.680,627.790+-327.773,0.000+-0.000,25/100,14/100,61/100
"
"
FWR=0.2P=0.85
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,845.988+-549.352,303.333+-234.694,407.780+-259.539,86.942+-62.632,74/100,14/100,12/100
laggy,525.096+-655.175,141.368+-256.240,308.930+-204.149,85.471+-54.372,50/100,45/100,5/100
noisy,-1.610+-261.152,-20.091+-92.897,176.210+-165.991,72.541+-89.468,4/100,93/100,3/100
random,-38.884+-270.288,-59.752+-103.246,203.560+-231.452,87.980+-117.796,4/100,90/100,6/100
zero,-82.126+-216.767,-72.848+-116.844,207.070+-210.812,84.928+-101.818,2/100,88/100,10/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,894.375+-532.511,333.824+-235.965,371.700+-230.394,0.000+-0.000,79/100,13/100,8/100
laggy,77.890+-558.061,-6.006+-254.296,240.840+-140.713,0.000+-0.000,19/100,80/100,1/100
noisy,-115.617+-92.734,-94.895+-65.327,121.420+-32.898,0.000+-0.000,0/100,100/100,0/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,269.019+-513.100,79.918+-166.084,613.380+-337.983,0.000+-0.000,24/100,17/100,59/100
"
"
FWR=0.1P=0.1
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,837.391+-560.841,298.125+-239.669,414.930+-250.989,47.496+-28.774,74/100,16/100,10/100
laggy,864.360+-547.227,307.750+-237.640,402.820+-250.344,46.462+-29.468,76/100,13/100,11/100
noisy,860.443+-544.788,267.579+-197.759,451.710+-251.665,53.819+-29.969,75/100,10/100,15/100
random,-170.152+-114.841,-158.790+-110.154,111.850+-29.804,18.905+-6.307,0/100,100/100,0/100
zero,-153.428+-90.690,-146.570+-89.838,114.540+-91.562,21.360+-19.661,0/100,99/100,1/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,872.991+-545.213,335.691+-236.722,347.200+-209.905,0.000+-0.000,77/100,16/100,7/100
noisy,866.272+-547.507,274.792+-201.237,430.310+-241.545,0.000+-0.000,76/100,12/100,12/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
zero,-148.208+-37.806,-218.691+-63.418,69.860+-12.788,0.000+-0.000,0/100,100/100,0/100
~di_na,288.510+-514.936,88.761+-167.680,627.790+-327.773,0.000+-0.000,25/100,14/100,61/100
"
"
FWR=0.8P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,349.110+-562.840,101.096+-182.617,564.450+-317.540,638.787+-449.023,31/100,16/100,53/100
laggy,340.275+-533.724,108.697+-185.232,598.600+-323.453,661.265+-417.300,29/100,11/100,60/100
noisy,265.524+-518.688,79.532+-164.453,675.370+-326.516,685.314+-335.331,24/100,12/100,64/100
random,335.804+-533.251,82.404+-150.363,659.670+-315.353,683.873+-335.483,29/100,14/100,57/100
zero,324.454+-544.667,90.249+-166.920,619.920+-324.872,431.305+-246.351,29/100,17/100,54/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,882.679+-539.138,331.420+-238.090,369.770+-229.547,0.000+-0.000,78/100,14/100,8/100
laggy,-173.423+-426.195,-167.902+-253.401,186.200+-112.111,0.000+-0.000,7/100,93/100,0/100
noisy,-123.980+-90.443,-109.840+-81.741,116.950+-31.084,0.000+-0.000,0/100,100/100,0/100
random,-217.436+-141.052,-210.230+-140.976,106.170+-28.690,0.000+-0.000,0/100,100/100,0/100
