FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
noisy,447.075+-713.437,266.574+-399.850,467.340+-316.394,471.429+-336.045,53/100,31/100,16/100
random,83.522+-659.040,75.518+-307.886,584.510+-311.094,502.887+-265.422,29/100,53/100,18/100
zero,-22.178+-535.438,32.391+-269.895,584.060+-308.574,288.953+-149.771,19/100,62/100,19/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,496.049+-585.764,387.384+-482.757,231.740+-228.207,0.000+-0.000,48/100,45/100,7/100
noisy,515.448+-585.984,361.711+-440.212,259.000+-257.259,0.000+-0.000,50/100,40/100,10/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.1P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,474.578+-581.908,380.232+-483.701,255.610+-253.436,30.609+-31.029,46/100,45/100,9/100
laggy,436.903+-615.987,317.513+-479.906,218.350+-201.320,35.048+-32.857,47/100,50/100,3/100
noisy,-132.431+-317.986,-94.277+-323.637,128.640+-36.834,21.240+-7.366,6/100,94/100,0/100
random,-287.947+-166.390,-278.124+-222.288,107.440+-28.139,20.603+-9.086,1/100,99/100,0/100
zero,-295.976+-111.330,-318.083+-135.385,96.650+-20.541,16.774+-7.493,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,395.370+-691.868,352.008+-529.966,228.110+-206.616,0.000+-0.000,49/100,48/100,3/100
