FWR=0.1P=0.85
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,298.094+-33.319,3020.177+-778.103,13.460+-16.381,1.185+-2.120,98/100,0/100,2/100
laggy,78.359+-99.800,254.837+-737.651,92.180+-22.541,20.137+-7.466,14/100,1/100,85/100
noisy,107.347+-95.633,170.207+-252.638,91.240+-19.800,16.574+-3.914,17/100,2/100,81/100
random,31.428+-56.526,38.415+-103.008,99.100+-7.029,20.290+-3.082,3/100,0/100,97/100
zero,79.083+-80.295,86.565+-103.975,98.080+-6.729,13.941+-1.012,11/100,2/100,87/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,299.059+-21.107,3255.531+-532.913,10.290+-9.191,0.000+-0.000,99/100,0/100,1/100
laggy,27.837+-62.430,72.296+-387.322,97.870+-12.440,0.000+-0.000,3/100,0/100,97/100
noisy,62.952+-69.279,81.220+-157.838,97.530+-10.732,0.000+-0.000,6/100,0/100,94/100
random,-1.157+-22.312,-1.157+-22.312,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.015+-0.015,-0.015+-0.015,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,209.355+-114.568,1907.472+-1306.379,18.200+-23.158,0.000+-0.000,56/100,38/100,6/100
"
"
FWR=0.7P=0.9
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,216.196+-106.299,2161.891+-1253.308,13.640+-16.000,7.522+-23.489,61/100,36/100,3/100
laggy,195.693+-109.746,1939.423+-1277.908,15.910+-21.556,13.438+-27.011,52/100,42/100,6/100
noisy,217.333+-108.880,2104.127+-1311.064,17.650+-23.450,18.296+-26.397,61/100,32/100,7/100
random,197.901+-110.292,1984.265+-1241.575,11.960+-11.020,12.277+-11.059,53/100,46/100,1/100
zero,216.257+-106.149,2141.400+-1220.838,12.850+-13.038,10.400+-13.403,61/100,37/100,2/100
